id,name
agri.active_ingredient_dithianon__trifloxystrobin,dithianon + trifloxystrobin
agri.active_ingredient_diuron,diuron
agri.active_ingredient_diuron__sulcotrione,diuron + sulcotrione
agri.active_ingredient_dodine,dodine
agri.active_ingredient_edb,EDB [syn. ethylene dibromide]
agri.active_ingredient_emamectin_benzoate,emamectin benzoate
agri.active_ingredient_epoxiconazole,epoxiconazole
agri.active_ingredient_epoxiconazole__pyraclostrobin,epoxiconazole + pyraclostrobin
agri.active_ingredient_eptc,EPTC
agri.active_ingredient_eptc__safener,EPTC + safener
agri.active_ingredient_ethephon,ethephon
agri.active_ingredient_ethoprophos,ethoprophos
agri.active_ingredient_fenamiphos,fenamiphos
agri.active_ingredient_fenazaquin,fenazaquin
agri.active_ingredient_fenbutatin_oxide,fenbutatin-oxide
agri.active_ingredient_fenhexamid,fenhexamid
agri.active_ingredient_fenpropathrin,fenpropathrin
agri.active_ingredient_fenpyroximate,fenpyroximate
agri.active_ingredient_fipronil,fipronil
agri.active_ingredient_fipronil__lambda_cyhalothrin,fipronil + lambda-cyhalothrin
agri.active_ingredient_florasulam__flumetsulam,florasulam + flumetsulam
agri.active_ingredient_fluazifop_p_butyl,fluazifop-P-butyl
agri.active_ingredient_flufenoxuron,flufenoxuron
agri.active_ingredient_flumetsulam,flumetsulam
agri.active_ingredient_flumetsulam__mesotrione__sulcotrione,flumetsulam + mesotrione + sulcotrione
agri.active_ingredient_flumetsulam__sulcotrione,flumetsulam + sulcotrione
agri.active_ingredient_flumioxazin,flumioxazin
agri.active_ingredient_fluroxypyr,fluroxypyr
agri.active_ingredient_fluroxypyr__triclopyr,"fluroxypyr + triclopyr [syn. 3,5,6-TPA]"
agri.active_ingredient_flusilazole,flusilazole
agri.active_ingredient_fluxofenim,fluxofenim
agri.active_ingredient_folpet,folpet
agri.active_ingredient_fomesafen,fomesafen
agri.active_ingredient_forchlorfenuron,forchlorfenuron
agri.active_ingredient_gibberellic_acid,gibberellic acid [syn. gibberellins]
agri.active_ingredient_glufosinate_ammonium,glufosinate-ammonium
agri.active_ingredient_glyphosate,glyphosate
agri.active_ingredient_halosulfuron,halosulfuron
agri.active_ingredient_haloxyfop_r_methyl_ester,haloxyfop-R-methyl ester
agri.active_ingredient_hexaconazole,hexaconazole
agri.active_ingredient_hexazinone,hexazinone
agri.active_ingredient_imazalil,imazalil
agri.active_ingredient_imazamox,imazamox
agri.active_ingredient_imazamox__imazapyr,imazamox + imazapyr
agri.active_ingredient_imazapyr,imazapyr
agri.active_ingredient_imazethapyr,imazethapyr
agri.active_ingredient_imidacloprid,imidacloprid
agri.active_ingredient_imidacloprid__tebuconazole,imidacloprid + tebuconazole
agri.active_ingredient_indoxacarb,indoxacarb
agri.active_ingredient_iprodione,iprodione
agri.active_ingredient_iprovalicarb,iprovalicarb
agri.active_ingredient_isoxaflutole,isoxaflutole
agri.active_ingredient_kresoxim_methyl,kresoxim-methyl
agri.active_ingredient_lambda_cyhalothrin,lambda-cyhalothrin
agri.active_ingredient_linuron,linuron
agri.active_ingredient_lufenuron,lufenuron
agri.active_ingredient_mancozeb,mancozeb
agri.active_ingredient_mancozeb__metalaxyl,mancozeb + metalaxyl
agri.active_ingredient_mcpa,MCPA
agri.active_ingredient_mepiquat_chloride,mepiquat chloride
agri.active_ingredient_mercaptothion,mercaptothion [syn. malathion]
agri.active_ingredient_mesotrione,mesotrione
agri.active_ingredient_metalaxyl,metalaxyl
agri.active_ingredient_metaldehyde,metaldehyde
agri.active_ingredient_metamitron,metamitron
agri.active_ingredient_metazachlor,metazachlor
agri.active_ingredient_methamidophos,methamidophos
agri.active_ingredient_metham_sodium,metham sodium [syn. metam sodium]
agri.active_ingredient_methidathion,methidathion
agri.active_ingredient_methomyl,methomyl
agri.active_ingredient_metolachlor,metolachlor
agri.active_ingredient_metribuzin,metribuzin
agri.active_ingredient_metsulfuron_methyl,metsulfuron-methyl
agri.active_ingredient_mevinphos,mevinphos
agri.active_ingredient_mineral_oil,mineral oil
agri.active_ingredient_mixed_organic_buffer_system,mixed organic buffer system
agri.active_ingredient_msma,MSMA
agri.active_ingredient_myclobutanil,myclobutanil
agri.active_ingredient_nicosulfuron,nicosulfuron
agri.active_ingredient_non_ionic_surfactant,non-ionic surfactant
agri.active_ingredient_novaluron,novaluron
agri.active_ingredient_omethoate,omethoate
agri.active_ingredient_oryzalin,oryzalin
agri.active_ingredient_oxadiazon,oxadiazon
agri.active_ingredient_oxamyl,oxamyl
agri.active_ingredient_oxyfluorfen,oxyfluorfen
agri.active_ingredient_paclobutrazol,paclobutrazol
agri.active_ingredient_paraquat,paraquat
agri.active_ingredient_parathion,parathion
agri.active_ingredient_penconazole,penconazole
agri.active_ingredient_pencycuron,pencycuron
agri.active_ingredient_pendimethalin,pendimethalin
agri.active_ingredient_phosphorous_acid,phosphorous acid
agri.active_ingredient_phosphorous_acid__potassium_carbonate,phosphorous acid + potassium carbonate
agri.active_ingredient_picoxystrobin,picoxystrobin
agri.active_ingredient_picoxystrobin__prothioconazole,picoxystrobin + prothioconazole
agri.active_ingredient_pirimicarb,pirimicarb
agri.active_ingredient_polyether_polymethylsiloxane_copolymer__vegetable_oil,polyether-polymethylsiloxane-copolymer + vegetable oil
agri.active_ingredient_potassium_phosphite,potassium phosphite
agri.active_ingredient_procymidone,procymidone
agri.active_ingredient_profenofos,profenofos
agri.active_ingredient_prohexadione_calcium,prohexadione-calcium
agri.active_ingredient_propiconazole,propiconazole
agri.active_ingredient_propyzamide,propyzamide
agri.active_ingredient_prosulfocarb,prosulfocarb
agri.active_ingredient_prothioconazole,prothioconazole
agri.active_ingredient_pymetrozine,pymetrozine
agri.active_ingredient_pyraclostrobin,pyraclostrobin
agri.active_ingredient_pyrimethanil,pyrimethanil
agri.active_ingredient_pyrimethanil__trifloxystrobin,pyrimethanil + trifloxystrobin
agri.active_ingredient_pyriproxyfen,pyriproxyfen
agri.active_ingredient_quinoxyfen,quinoxyfen
agri.active_ingredient_quintozene,quintozene
agri.active_ingredient_s_metolachlor,s-metolachlor
agri.active_ingredient_spirodiclofen,spirodiclofen
agri.active_ingredient_spirotetramat,spirotetramat
agri.active_ingredient_spiroxamine,spiroxamine
agri.active_ingredient_sulcotrione,sulcotrione
agri.active_ingredient_sulfentrazone,sulfentrazone
agri.active_ingredient_sulfosulfuron,sulfosulfuron
agri.active_ingredient_sulphur,sulphur
agri.active_ingredient_tartar_emetic,tartar emetic
agri.active_ingredient_tau_fluvalinate,tau-fluvalinate
agri.active_ingredient_tebuconazole,tebuconazole
agri.active_ingredient_tebuconazole__trifloxystrobin,tebuconazole + trifloxystrobin
agri.active_ingredient_tebuthiuron,tebuthiuron
agri.active_ingredient_terbufos,terbufos
agri.active_ingredient_terbuthylazine,terbuthylazine
agri.active_ingredient_tetraconazole,tetraconazole
agri.active_ingredient_thiabendazole,thiabendazole
agri.active_ingredient_thiacloprid,thiacloprid
agri.active_ingredient_thiamethoxam,thiamethoxam
agri.active_ingredient_thiodicarb,thiodicarb
agri.active_ingredient_thiram,thiram
agri.active_ingredient_tralkoxydim,tralkoxydim
agri.active_ingredient_triallate,triallate
agri.active_ingredient_triasulfuron,triasulfuron
agri.active_ingredient_trifloxystrobin,trifloxystrobin
agri.active_ingredient_trifluralin,trifluralin
